"","x","Hybrid_mu_beta_mean","Hybrid_beta_rank_mean..1.","Hybrid_beta_micro_mean..1."
"1","hhsize",-0.689350182080295,-0.607890400793448,-0.799302374479472
"2","hhage",0.043221789660278,0.0872671262587948,-0.00542684089184291
"3","age04",-0.0444186194774956,-0.0698038454395522,-0.0189365977970466
"4","depratio",-0.0485022542219158,-0.0053661831197996,-0.0990951566992029
"5","pcfloor",0.19879742024353,0.190663058433158,0.209684972916077
"6","eschild",0.0876558897558034,0.179629342716544,-0.00190668734959672
"7","jschild",0.0932115919367233,0.121485273671493,0.0696889635833581
"8","sschild",0.143484993975516,0.197847079752113,0.0955229225964908
"9","connected",-0.0320021624181026,-0.0879669998121158,0.0110128677242409
"10","hhmale",0.0520246523744077,0.117240822117085,-0.010751105051226
"11","hhmarried",0.24019216252896,0.490864345057699,0.00599631991699588
"12","hheduc2",0.0658355833124644,0.0320416068110622,0.113682480337321
"13","hheduc3",0.0899395848740791,0.0651811234553512,0.11408607892669
"14","hheduc4",0.107542804611151,0.112986195142646,0.115091779230811
"15","higheduc2",-0.027613071537703,-0.0885157902827605,0.0391870576914482
"16","higheduc3",0.0237170108823176,0.0333101065651843,0.00512208056784818
"17","higheduc4",0.138092066722558,0.188055561168096,0.0954688692055882
"18","tfloor",0.143096426059832,0.245192780328391,0.0444617265300004
"19","twall",0.296343989347676,0.467074144365209,0.131013380347706
"20","toilet",0.230383102978442,0.427967861193867,0.0484837853911397
"21","water",-0.00496986971932479,0.126204337032365,-0.130882275638696
"22","lighting",0.177082529962232,0.239248675247204,0.108209408696153
"23","troof",0.0168138866177553,0.147974798542577,-0.114901803149659
"24","fcook",0.0666866600875357,-0.0574588078607294,0.197000487288171
"25","house",0.144466180267113,0.236673132198434,0.0624161183268014
"26","computer",0.623752940006469,0.733245824643647,0.536454862553218
"27","radio",-0.0961342625966851,-0.227300990421766,0.0410942871189713
"28","tv",0.126169022863842,0.295680203807756,-0.0458798418565216
"29","dvd",0.300934421972207,0.490617673964572,0.123933410901283
"30","satellite",0.136875876799558,0.132961317509275,0.142994223316382
"31","ac",0.438722740766892,0.465432628118005,0.430692284612752
"32","gas",0.135630950775289,0.0798894503919898,0.184767432520236
"33","refrigerator",0.370006312305608,0.534842683957972,0.226505919839242
"34","bicycle",0.0483311443633822,0.0797394560643163,0.0244658574968579
"35","motorcycle",0.358194989244207,0.506326551415844,0.220915894457078
"36","auto",0.539813146079527,0.602026436202962,0.51058587700423
"37","hp",0.202585831884004,0.230875753994391,0.177906617047974
"38","jewelry",0.0268852895509094,0.00341791038522347,0.0465515626668261
"39","chicken",0.0926573274151608,0.111438916733094,0.0661642191750212
"40","cow",0.0457949678717078,0.1582012436994,-0.0517321753096239
"41","credit",0.0106205721076396,0.00593624775351942,0.01933857476796
"42","hhsector1",0.0424828313143465,0.0881740205715703,0.00242584359936756
"43","hhsector2",-0.153892238958148,-0.244534268840235,-0.0687896674634303
"44","hhsector3",0.0444659869893524,0.0772276836272648,0.0143267389294383
"45","formal",0.155697987873379,0.187141984088286,0.13120512222235
"46","informal",-0.0369775269974566,-0.0815641803695986,0.00310531164719979
"47","hhage2",-0.133989219061856,-0.220785148839589,-0.0434527038414893
"48","hhsize2",0.105507500813772,-0.0602216678144194,0.27718050512394
